-11.5,0.0,-0.78
-11.25,0.0,-0.7
-11.0,0.0,-0.62
-10.75,0.0,-0.54
-10.5,0.0,-0.45
-10.25,0.0,-0.37
-10.0,0.0,-0.29
-9.75,0.0,-0.2
-9.5,0.0,-0.12
-9.25,0.0,-0.04
-9.0,0.0,0.04
-8.75,0.0,0.12
-8.5,0.0,0.2
-8.25,0.0,0.28
-8.0,0.0,0.35
-6.0,0.0,0.9
-4.0,0.0,1.38
-2.0,0.0,1.78
0.0,0.0,2.11
2.0,0.0,2.38
4.0,0.0,2.6
6.0,0.0,2.77
8.0,0.0,2.9
10.0,0.0,2.98
12.0,0.0,3.03
12.0,10.0,2.05
10.0,10.0,2.09
8.0,10.0,2.09
6.0,10.0,2.06
4.0,10.0,1.98
2.0,10.0,1.86
0.0,10.0,1.69
-2.0,10.0,1.47
-4.0,10.0,1.19
-6.0,10.0,0.84
-8.0,10.0,0.43
-8.25,10.0,0.37
-8.5,10.0,0.31
-8.75,10.0,0.25
-9.0,10.0,0.19
-9.25,10.0,0.13
-9.5,10.0,0.07
-9.75,10.0,0.01
-10.0,10.0,-0.06
-10.25,10.0,-0.12
-10.5,10.0,-0.18
-10.75,10.0,-0.24
-11.0,10.0,-0.3
-11.25,10.0,-0.36
-11.5,10.0,-0.42
-11.5,12.0,-0.4
-11.25,12.0,-0.35
-11.0,12.0,-0.29
-10.75,12.0,-0.24
-10.5,12.0,-0.18
-10.25,12.0,-0.12
-10.0,12.0,-0.06
-9.75,12.0,0.0
-9.5,12.0,0.06
-9.25,12.0,0.12
-9.0,12.0,0.17
-8.75,12.0,0.23
-8.5,12.0,0.28
-8.25,12.0,0.34
-8.0,12.0,0.4
-6.0,12.0,0.78
-4.0,12.0,1.11
-2.0,12.0,1.37
0.0,12.0,1.51
2.0,12.0,1.72
4.0,12.0,1.82
6.0,12.0,1.88
8.0,12.0,1.9
10.0,12.0,1.89
12.0,12.0,1.83
12.0,20.0,1.1
10.0,20.0,1.21
8.0,20.0,1.29
6.0,20.0,1.33
4.0,20.0,1.33
2.0,20.0,1.29
0.0,20.0,1.21
-2.0,20.0,1.09
-4.0,20.0,0.92
-6.0,20.0,0.68
-8.0,20.0,0.39
-8.25,20.0,0.35
-8.5,20.0,0.31
-8.75,20.0,0.27
-9.0,20.0,0.22
-9.25,20.0,0.18
-9.5,20.0,0.14
-9.75,20.0,0.09
-10.0,20.0,0.05
-10.25,20.0,0.0
-10.5,20.0,-0.04
-10.75,20.0,-0.08
-11.0,20.0,-0.12
-11.25,20.0,-0.16
-11.5,20.0,-0.19
-11.5,30.0,-0.08
-11.25,30.0,-0.06
-11.0,30.0,-0.05
-10.75,30.0,-0.03
-10.5,30.0,0.0
-10.25,30.0,0.03
-10.0,30.0,0.06
-9.75,30.0,0.08
-9.5,30.0,0.11
-9.25,30.0,0.14
-9.0,30.0,0.17
-8.75,30.0,0.2
-8.5,30.0,0.23
-8.25,30.0,0.26
-8.0,30.0,0.29
-6.0,30.0,0.48
-4.0,30.0,0.62
-2.0,30.0,0.71
0.0,30.0,0.75
2.0,30.0,0.74
4.0,30.0,0.7
6.0,30.0,0.63
8.0,30.0,0.51
10.0,30.0,0.37
12.0,30.0,0.18
12.0,40.0,-0.67
10.0,40.0,-0.42
8.0,40.0,-0.21
6.0,40.0,-0.04
4.0,40.0,0.1
2.0,40.0,0.21
0.0,40.0,0.27
-2.0,40.0,0.3
